,Description (also set on the server),Exp (also set on the server),Card,Tome Section,Index,Flag 1,Flag 2,"Flag 3 ",Flag 4,Flag 5,Flag 6,Flag 7,Flag 8,Flag 9,Flag 10,Flag 11,Flag 12,Flag 13,Flag 14,Flag 15,Flag 16,Flag 17,Flag 18,Flag 19,Flag 20,Flag 21,Flag 22,Flag 23,Flag 24,Flag 25,Flag 26,Flag 27,Flag 28,Flag 29,Flag 30,Flag 31,Flag 32,Flag 33,Flag 34,Flag 35,Flag 36
6244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6299,</TOME TACTICS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300,PQ Map point - GREENSKIN APQs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6301,PQ Map point - Ugrog's Rage,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6302,PQ Map point - Sharpthorn Rock Mine,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6303,PQ Map point - Ironclaw Camp,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6304,PQ Map point - Sharpthorn Wud,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6305,PQ Map point - Kron Komar Gap,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6306,PQ Map point - Sacred Grove,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6307,PQ Map point - Scartusk Camp,50,,50,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6308,PQ Map point - Broketoof Camp,50,,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6309,PQ Map point - Goldfist's Hole Recovery,50,,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6310,PQ Map point - Raider's Haven,50,,50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6311,PQ Map point - Danurgi's Rangers,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6312,PQ Map point - Up the Creek Without a Battle,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6313,PQ Map point - Firebeard's Slayers,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6314,PQ Map point - Marsh Conquest,50,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6315,PQ Map point - Battle at Blood Fen,50,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6316,PQ Map point - The Specter of Battle,50,,50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6317,PQ Map point - Bar Dawazbak,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6318,PQ Map point - Burn Rock Tower,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6319,PQ Map point - Gudrim's Veterans,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6320,PQ Map point - Grundadrakk's Wharf,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6321,PQ Map point - Boarding the Seahammer,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6322,PQ Map point - Fall of Firebrew,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,PQ Map point - Ironrock Point,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,PQ Map point - Long Drong and the Slayer Cove,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6325,PQ Map point - When the Ship Hits the Sand,50,,50,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,PQ Map point - Gassy Mines,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6327,PQ Map point - Statue of Inspiration,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6328,PQ Map point - Thardrik Smashin',50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6329,PQ Map point - Fireforge's Camp,50,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6330,PQ Map point - Revoltin' Gobbos,50,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6331,PQ Map point - Mutant Exiles,50,,50,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6332,PQ Map point - Moonfang Remnant,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6333,PQ Map point - Grimbeard Station,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6334,PQ Map point - Kolaz Umgal,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6335,PQ Map point - Altstadt,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6336,PQ Map point - Priesterstadt,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6337,PQ Map point - Sigmarite Temple,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6338,PQ Map point - Blight Favored Cult,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6339,PQ Map point - Blighted Herd,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6340,PQ Map point - Kolaz Umgal Scouts,50,,50,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6341,PQ Map point - Morkfang da Mad,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6342,PQ Map point - Overtop Outpost,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6343,PQ Map point - Valley of the Rangers,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6344,PQ Map point - Ambush Canyon,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6345,PQ Map point - A Wyvern in the Hand,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6346,PQ Map point - Skargor da Traitor,50,,50,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6347,PQ Map point - Gutbashed Gnoblars,50,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6348,PQ Map point - Reichert's Raiders,50,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,PQ Map point - Und-a-Runki,50,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,PQ Map point - Da Drakk Cult,50,,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6351,PQ Map point - Gutbash Tribe Stronghold,50,,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,PQ Map point - Fallen Keep of Grom Rodrin,50,,50,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6353,PQ Map point - Flamerock Mine,50,,50,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6354,PQ Map point - Undercroft of the Blisterclaw,50,,50,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6355,PQ Map point - Ruins of Mingol Kurdak,50,,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6356,PQ Map point - Baradum,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6357,PQ Map point - Burnbeard's Oath,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6358,PQ Map point - Kazad Urbar,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6359,PQ Map point - Battlegut Ogres,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6360,PQ Map point - Clarion Tower,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6361,PQ Map point - Duraz Dok,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6362,PQ Map point - Beer Barrel Bash,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6363,PQ Map point - Duraz Deb,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6364,PQ Map point - Slayer Keep,50,,50,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6366,PQ Map point - GREENSKIN vs DWARF - BOs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6412,PQ Map point - CHAOS APQs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6413,PQ Map point - Ruinous Powers,50,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6414,PQ Map point - Holmsteinn Revisited,50,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6415,PQ Map point - Suderholm,50,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6416,PQ Map point - Destruction of the Weak,50,,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6417,PQ Map point - Pillage and Plunder,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6418,PQ Map point - Macabre Fervor,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6419,PQ Map point - The Wilds of War,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6420,PQ Map point - Fields of Woe,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6421,PQ Map point - Sacred Ground,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6422,PQ Map point - Salzenmund,50,,50,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6423,PQ Map point - Bells of War,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6424,PQ Map point - Krul'Gor Herd,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6425,PQ Map point - Spirits of the Shadow,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6426,PQ Map point - Reaper's Circle,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6427,PQ Map point - Silkens,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6428,PQ Map point - Wayshrine of Sigmar,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6429,PQ Map point - Bog Hunters,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6430,PQ Map point - Griffon Outpost,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6431,PQ Map point - Ragash's Last Stand,50,,50,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6432,PQ Map point - Lursa's Blight,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6433,PQ Map point - Plaguewood Thicket,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6434,PQ Map point - Trovolek,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6435,PQ Map point - Plague Altar,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6436,PQ Map point - The Blightstone Trolls,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6437,PQ Map point - Tearing the Portal,50,,50,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6438,PQ Map point - Mud Flats,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6439,PQ Map point - Steinbruck Manor,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6440,PQ Map point - Suderheim,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6441,PQ Map point - Army of Faith,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6442,PQ Map point - Knightly Riders,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6443,PQ Map point - Serpent's Fang Bandits,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6444,PQ Map point - Kruegerhaus,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6445,PQ Map point - Bitterspring,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6446,PQ Map point - Village Vermin,50,,50,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6447,PQ Map point - Guts Out,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6448,PQ Map point - Keep of Asavar Kul,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,PQ Map point - Tempest Horn,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6450,PQ Map point - Beacon of Firengrom,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6451,PQ Map point - Temple of Heimkel,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6452,PQ Map point - Tower of the Elves,50,,50,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6453,PQ Map point - Lonely Tower,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6454,PQ Map point - Reaping Pain,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6455,PQ Map point - The Storm is Coming,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6456,PQ Map point - Sands of Time,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6457,PQ Map point - Fall of Grimclan,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6458,PQ Map point - The Tower of Awakening,50,,50,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6459,PQ Map point - Chasing Shadows,50,,50,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6460,PQ Map point - Gates of Praag,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6461,PQ Map point - Sundered Fortress,50,,50,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6462,PQ Map point - Cinderash Enclave,50,,50,105,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6463,PQ Map point - Tomb of Deathsword,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,PQ Map point - Eastern Breach,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6465,PQ Map point - The End is Nigh,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6466,PQ Map point - Wings of the Griffon,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6467,PQ Map point - Southern Breach,50,,50,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6468,PQ Map point - Ambush at Garrisonburg,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6469,PQ Map point - Dark Retribution,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,PQ Map point - Rain of Fire,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,PQ Map point - Hunting the Hunters,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6472,PQ Map point - Stoneclan's Demise,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6473,PQ Map point - Vulgar Display of Power,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6474,PQ Map point - Fields of Reikland,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6475,PQ Map point - Reiksguard Training Grounds,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6476,PQ Map point - All the King's Men,50,,50,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6480,PQ Map point - CHAOS vs EMPIRE - BOs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
